,RespSex,Q6_1,age_dv,marstat2,religion_dv,workstat2,wimd_2014_quintile
320077,2,3.0,6,1,1.0,2.0,4
320078,2,2.0,3,1,1.0,1.0,4
320079,1,2.0,2,2,3.0,1.0,3
320080,1,2.0,5,1,,3.0,4
320081,2,4.0,5,2,1.0,2.0,4
320083,1,1.0,4,1,1.0,1.0,5
320084,1,2.0,7,1,3.0,2.0,5
320085,1,4.0,5,2,1.0,3.0,5
320086,2,1.0,3,2,3.0,1.0,4
320088,2,2.0,2,1,1.0,3.0,3
320089,2,2.0,2,2,1.0,3.0,4
320090,1,2.0,3,2,1.0,3.0,3
320091,2,2.0,2,1,1.0,1.0,5
320092,2,1.0,2,2,1.0,1.0,5
320093,2,2.0,4,2,1.0,1.0,5
320094,2,2.0,4,1,,1.0,5
320095,2,1.0,1,2,1.0,1.0,4
320096,2,1.0,7,1,1.0,2.0,4
320097,1,1.0,4,1,1.0,1.0,5
320098,2,1.0,4,1,1.0,1.0,5
320099,2,5.0,5,1,1.0,2.0,4
320100,1,1.0,1,2,3.0,1.0,4
320101,2,1.0,4,1,1.0,1.0,5
320103,2,2.0,5,1,,1.0,5
320104,1,4.0,1,2,1.0,3.0,3
320105,1,2.0,3,2,3.0,1.0,5
320106,1,2.0,6,1,,3.0,4
320107,1,1.0,3,2,3.0,1.0,5
320108,1,2.0,3,2,1.0,3.0,5
320109,2,1.0,2,1,1.0,1.0,5
320110,2,1.0,2,2,1.0,3.0,5
320111,1,1.0,2,2,1.0,1.0,5
320112,2,1.0,4,2,1.0,1.0,4
320113,2,4.0,7,2,1.0,2.0,3
320114,1,2.0,4,2,3.0,1.0,5
320116,1,1.0,5,2,1.0,3.0,4
320117,1,1.0,3,1,1.0,1.0,5
320118,2,1.0,2,1,1.0,1.0,5
320119,1,2.0,6,2,1.0,2.0,5
320120,2,3.0,7,2,1.0,2.0,3
320121,2,2.0,5,1,1.0,1.0,5
320122,1,2.0,4,2,1.0,1.0,5
320123,1,2.0,6,2,3.0,2.0,4
320124,1,3.0,4,1,1.0,1.0,5
320126,2,3.0,6,1,1.0,2.0,4
320128,2,1.0,3,1,1.0,1.0,5
320129,1,2.0,2,2,1.0,1.0,5
320131,1,1.0,3,1,1.0,1.0,4
320132,1,1.0,2,2,3.0,1.0,3
320133,2,3.0,3,2,3.0,3.0,4
320134,1,1.0,4,1,3.0,1.0,4
320135,2,1.0,2,1,1.0,1.0,3
320136,2,1.0,1,2,1.0,11.0,5
320137,2,1.0,2,2,,3.0,5
320138,1,1.0,2,2,1.0,1.0,5
320140,2,3.0,4,2,1.0,3.0,3
320141,1,3.0,1,2,3.0,3.0,4
320142,1,2.0,6,1,1.0,2.0,3
320143,1,1.0,4,1,1.0,1.0,5
320144,1,2.0,1,2,,1.0,4
320146,1,1.0,3,1,1.0,1.0,5
320147,2,1.0,4,1,1.0,3.0,4
320148,1,1.0,2,2,3.0,3.0,4
320149,1,2.0,6,1,1.0,2.0,5
320151,1,1.0,2,2,1.0,1.0,4
320154,1,1.0,4,1,1.0,1.0,5
320155,1,2.0,5,1,1.0,1.0,5
320156,2,2.0,1,2,1.0,3.0,4
320157,2,2.0,2,2,,3.0,5
320158,1,2.0,5,1,1.0,1.0,4
320159,2,1.0,3,1,1.0,1.0,4
320160,1,2.0,4,1,1.0,1.0,5
320161,2,2.0,7,1,1.0,2.0,4
320162,1,3.0,4,2,1.0,1.0,3
320163,1,1.0,3,1,3.0,1.0,5
320164,1,3.0,5,1,3.0,3.0,4
320165,1,2.0,7,1,3.0,2.0,3
320166,1,2.0,3,2,3.0,1.0,5
320167,2,4.0,4,1,1.0,3.0,4
320168,2,2.0,1,2,3.0,3.0,3
320169,2,2.0,1,2,3.0,1.0,5
320172,1,3.0,1,2,1.0,1.0,4
320173,2,1.0,2,2,1.0,1.0,3
320174,1,1.0,1,2,3.0,3.0,5
320176,1,2.0,5,1,1.0,1.0,5
320178,2,3.0,7,2,1.0,2.0,3
320179,1,3.0,4,1,1.0,1.0,4
320180,2,2.0,3,1,3.0,1.0,3
320182,2,4.0,5,2,,3.0,3
320183,1,2.0,5,1,3.0,1.0,5
320184,2,4.0,3,2,3.0,1.0,4
320185,2,1.0,6,2,3.0,2.0,4
320186,2,3.0,7,1,1.0,2.0,3
320187,2,1.0,4,1,3.0,1.0,5
320189,2,,1,2,,,5
320190,2,1.0,6,1,3.0,2.0,5
320191,2,2.0,5,1,1.0,1.0,5
320192,2,1.0,3,2,3.0,1.0,5
320193,1,1.0,2,2,1.0,1.0,5
320194,1,1.0,4,2,,1.0,5
320195,2,2.0,3,1,3.0,1.0,5
320196,2,4.0,7,2,1.0,2.0,3
320197,2,2.0,6,2,1.0,2.0,4
320199,2,2.0,2,2,1.0,3.0,3
320200,2,1.0,2,2,1.0,3.0,3
320201,1,1.0,2,1,1.0,1.0,5
320202,2,4.0,4,2,1.0,3.0,3
320203,2,2.0,2,2,1.0,1.0,5
320204,2,1.0,3,2,1.0,1.0,5
320205,2,2.0,4,1,1.0,1.0,4
320207,2,1.0,1,2,1.0,1.0,5
320210,1,3.0,4,2,3.0,1.0,3
320211,2,3.0,6,2,,3.0,3
320212,2,2.0,4,1,1.0,1.0,5
320213,2,1.0,3,1,1.0,1.0,5
320214,2,2.0,3,1,1.0,1.0,4
320215,2,1.0,2,2,3.0,3.0,4
320217,2,2.0,4,1,1.0,1.0,3
320219,2,1.0,1,2,1.0,11.0,5
320220,1,1.0,4,2,3.0,1.0,4
320221,1,2.0,4,1,1.0,1.0,3
320223,2,4.0,2,2,3.0,1.0,4
320227,2,1.0,1,2,3.0,3.0,4
320228,2,2.0,2,1,2.0,3.0,3
320229,2,1.0,3,1,1.0,1.0,5
320230,1,2.0,1,2,1.0,1.0,5
320232,1,1.0,3,2,1.0,1.0,4
320233,2,2.0,2,2,1.0,3.0,4
320235,1,1.0,1,2,1.0,1.0,5
320238,2,1.0,1,2,1.0,1.0,5
320240,2,3.0,7,1,1.0,2.0,3
320241,2,3.0,2,2,,1.0,3
320242,1,1.0,3,1,1.0,1.0,5
320243,1,2.0,5,1,1.0,1.0,4
320244,1,2.0,6,1,1.0,2.0,5
320245,1,2.0,6,1,1.0,2.0,5
320246,2,2.0,6,1,1.0,2.0,4
320247,2,2.0,2,1,3.0,3.0,5
320248,2,1.0,2,2,1.0,1.0,5
320249,2,3.0,6,2,,2.0,3
320251,2,2.0,5,1,1.0,1.0,4
320253,2,2.0,4,1,1.0,1.0,5
320254,2,3.0,7,2,1.0,3.0,4
320255,1,2.0,6,1,3.0,2.0,4
320256,2,1.0,4,1,1.0,1.0,4
320257,2,3.0,4,1,1.0,1.0,3
320258,2,1.0,1,2,3.0,1.0,5
320259,2,2.0,2,2,3.0,3.0,4
320260,2,1.0,7,2,1.0,2.0,3
320262,1,1.0,3,2,1.0,3.0,3
320263,1,5.0,5,2,1.0,3.0,3
320264,2,3.0,7,2,1.0,2.0,3
320265,1,2.0,5,1,1.0,2.0,5
320266,2,2.0,3,2,,1.0,5
320267,1,2.0,5,2,2.0,1.0,4
320268,2,1.0,2,2,3.0,1.0,5
320269,1,1.0,1,2,3.0,3.0,5
320270,1,2.0,1,2,3.0,1.0,3
320271,2,1.0,3,1,3.0,1.0,5
320272,2,2.0,5,1,1.0,2.0,5
320273,1,1.0,1,2,1.0,1.0,5
320274,2,2.0,1,2,,1.0,4
320275,1,2.0,2,2,1.0,3.0,4
320276,2,2.0,1,2,3.0,3.0,4
320277,2,1.0,1,2,1.0,3.0,5
320278,1,4.0,4,2,3.0,3.0,3
320279,2,,1,2,,,5
320280,2,1.0,6,2,1.0,2.0,4
320281,2,2.0,1,2,1.0,1.0,4
320282,2,2.0,5,2,1.0,1.0,4
320284,1,2.0,2,2,2.0,1.0,4
320285,1,1.0,2,2,3.0,1.0,5
320286,2,4.0,5,2,3.0,3.0,4
320287,2,2.0,1,2,1.0,1.0,3
320288,1,2.0,1,2,1.0,3.0,3
320289,1,2.0,2,2,1.0,1.0,4
320290,2,3.0,7,2,1.0,2.0,4
320291,1,1.0,3,2,3.0,1.0,5
320292,2,2.0,7,2,1.0,2.0,4
320293,1,2.0,4,1,1.0,1.0,5
320294,2,2.0,2,1,2.0,3.0,4
320295,2,1.0,3,1,1.0,1.0,5
320296,1,2.0,5,1,1.0,3.0,3
320297,1,3.0,7,2,1.0,2.0,4
320298,1,1.0,6,1,1.0,2.0,3
320299,1,3.0,7,1,1.0,1.0,4
320300,1,1.0,4,2,1.0,1.0,5
320301,1,3.0,3,2,3.0,3.0,4
320302,1,1.0,3,1,1.0,1.0,3
320303,1,2.0,4,2,3.0,1.0,4
320304,2,3.0,7,1,1.0,2.0,4
320305,2,2.0,5,1,1.0,2.0,4
320306,1,4.0,6,1,1.0,2.0,4
320307,1,3.0,5,1,1.0,1.0,5
320308,2,1.0,4,1,1.0,1.0,5
320309,1,3.0,5,1,1.0,1.0,5
320310,2,2.0,4,1,3.0,1.0,5
320311,1,1.0,4,1,1.0,1.0,5
320312,1,3.0,5,2,3.0,3.0,4
320313,1,2.0,5,1,3.0,1.0,5
320314,1,3.0,2,2,1.0,3.0,3
320316,2,1.0,4,1,1.0,1.0,5
320317,1,1.0,5,1,1.0,1.0,5
320319,2,1.0,7,1,1.0,2.0,5
320321,1,2.0,4,1,1.0,1.0,4
320322,2,1.0,4,1,,1.0,5
320323,2,2.0,5,1,1.0,1.0,4
320324,1,2.0,3,2,,1.0,5
320325,1,2.0,6,1,1.0,2.0,5
320327,2,1.0,1,2,3.0,1.0,5
320328,2,3.0,7,2,,2.0,3
320329,2,5.0,7,2,1.0,1.0,4
320330,1,2.0,4,2,3.0,2.0,3
320331,1,3.0,7,1,1.0,2.0,4
320333,2,1.0,5,1,1.0,2.0,5
320334,2,3.0,5,1,3.0,2.0,4
320335,2,1.0,5,1,1.0,1.0,4
320336,2,1.0,2,1,3.0,1.0,5
320337,1,1.0,3,1,3.0,3.0,5
320338,2,4.0,3,2,3.0,3.0,3
320339,1,1.0,6,1,3.0,2.0,5
320340,1,2.0,2,2,1.0,1.0,4
320341,1,1.0,1,2,2.0,3.0,5
320342,2,2.0,1,2,1.0,11.0,5
320343,2,2.0,4,1,3.0,1.0,5
320344,2,2.0,1,2,1.0,3.0,4
320345,1,2.0,3,1,1.0,1.0,5
320346,1,1.0,5,1,3.0,2.0,5
320347,2,2.0,5,1,1.0,1.0,5
320348,1,1.0,4,1,3.0,1.0,5
320349,1,2.0,6,1,1.0,2.0,5
320351,1,4.0,7,2,,2.0,4
320352,1,3.0,5,1,1.0,2.0,4
320353,1,1.0,6,1,3.0,1.0,4
320354,1,1.0,1,2,3.0,3.0,4
320355,1,1.0,1,2,3.0,1.0,4
320356,1,2.0,3,2,1.0,1.0,4
320357,2,1.0,2,1,2.0,3.0,5
320358,1,2.0,6,2,1.0,2.0,4
320359,2,2.0,5,1,1.0,1.0,4
320360,1,2.0,5,2,1.0,2.0,5
320361,2,1.0,3,2,1.0,1.0,5
320362,2,1.0,2,2,3.0,3.0,5
320363,2,2.0,6,1,1.0,2.0,4
320364,2,2.0,5,2,1.0,1.0,5
320365,1,1.0,5,2,1.0,1.0,3
320366,1,3.0,5,1,3.0,2.0,3
320367,2,1.0,3,1,3.0,1.0,5
320368,2,,1,2,,,4
320369,2,2.0,2,1,3.0,1.0,5
320371,1,1.0,5,2,1.0,1.0,4
320372,1,1.0,5,1,,2.0,5
320373,1,1.0,4,1,1.0,1.0,4
320375,1,3.0,2,1,3.0,1.0,5
320376,1,1.0,1,2,1.0,3.0,5
320377,1,3.0,5,1,,1.0,4
320378,1,1.0,6,1,1.0,1.0,4
320380,2,1.0,1,2,1.0,1.0,5
320381,1,2.0,3,1,3.0,1.0,5
320382,1,1.0,4,1,1.0,1.0,4
320386,2,2.0,7,1,1.0,3.0,4
320387,2,2.0,5,1,1.0,1.0,5
320388,1,1.0,5,1,1.0,1.0,5
320389,1,1.0,2,2,1.0,1.0,5
320390,1,1.0,2,2,1.0,1.0,5
320391,2,1.0,5,1,1.0,1.0,4
320392,2,1.0,3,1,,1.0,5
320394,1,1.0,2,1,1.0,1.0,5
320395,2,2.0,7,2,1.0,3.0,4
320396,1,2.0,7,1,3.0,2.0,5
320397,2,2.0,4,2,3.0,1.0,3
320398,1,1.0,3,1,,1.0,5
320399,1,2.0,6,1,1.0,2.0,3
320400,1,1.0,2,2,1.0,1.0,5
320402,1,1.0,2,2,3.0,1.0,5
320403,2,4.0,6,2,1.0,2.0,3
320404,1,1.0,4,2,1.0,1.0,5
320405,2,1.0,1,2,3.0,1.0,4
320406,1,2.0,5,1,3.0,1.0,3
320407,2,2.0,4,1,,1.0,4
320408,1,2.0,3,2,2.0,1.0,5
320411,1,4.0,1,2,3.0,3.0,4
320412,2,3.0,7,1,1.0,2.0,3
320414,2,2.0,5,1,,2.0,5
320415,2,3.0,6,1,,1.0,3
320416,2,1.0,6,1,1.0,1.0,5
320417,2,1.0,2,2,1.0,1.0,5
320418,2,3.0,7,2,1.0,2.0,3
320420,1,1.0,4,1,3.0,1.0,5
320421,1,2.0,4,1,1.0,2.0,5
320422,1,1.0,6,1,1.0,1.0,5
320423,1,2.0,6,1,1.0,1.0,4
320425,2,1.0,1,2,1.0,1.0,5
320429,1,1.0,3,1,1.0,1.0,5
320430,1,1.0,2,1,1.0,1.0,5
320432,1,3.0,7,1,1.0,2.0,4
320434,1,1.0,2,1,1.0,1.0,5
320435,2,1.0,3,2,3.0,1.0,5
320436,1,1.0,2,2,1.0,1.0,5
320437,2,1.0,2,2,3.0,1.0,5
320440,2,2.0,5,1,3.0,1.0,5
320443,2,3.0,7,2,1.0,2.0,4
320444,2,1.0,3,1,3.0,1.0,4
320445,2,1.0,3,2,3.0,1.0,4
320446,2,1.0,3,1,3.0,1.0,4
320447,1,2.0,5,1,1.0,1.0,5
320448,2,2.0,3,2,1.0,3.0,4
320449,1,2.0,7,1,3.0,2.0,5
320450,1,3.0,6,1,1.0,1.0,4
320451,1,2.0,3,1,3.0,1.0,5
320452,2,3.0,6,2,1.0,2.0,3
320453,2,1.0,2,2,1.0,1.0,5
320455,2,2.0,5,1,1.0,1.0,4
320456,1,1.0,3,1,1.0,1.0,5
320457,1,1.0,4,1,1.0,1.0,5
320458,2,1.0,1,2,3.0,1.0,5
320459,2,2.0,4,2,3.0,1.0,5
320460,1,1.0,4,1,,1.0,5
320461,1,3.0,5,1,1.0,1.0,4
320462,2,4.0,1,2,1.0,3.0,3
320463,2,1.0,1,2,1.0,1.0,5
320464,2,2.0,6,1,1.0,2.0,4
320465,1,4.0,2,2,,2.0,4
320466,1,2.0,7,2,3.0,2.0,5
320467,2,1.0,3,1,1.0,1.0,4
320469,1,2.0,2,1,1.0,1.0,5
320470,2,2.0,2,1,1.0,1.0,5
320471,2,2.0,4,1,1.0,1.0,5
320472,2,2.0,5,1,1.0,1.0,5
320473,1,1.0,2,2,1.0,1.0,5
320474,1,2.0,5,1,3.0,3.0,4
320475,1,2.0,3,2,3.0,1.0,5
320476,2,2.0,3,2,1.0,1.0,5
320477,2,1.0,4,1,1.0,1.0,5
320478,2,2.0,5,1,1.0,2.0,4
320479,2,1.0,1,2,3.0,1.0,4
320480,1,2.0,5,1,3.0,1.0,4
320481,1,1.0,4,1,1.0,1.0,5
320482,2,1.0,7,2,1.0,1.0,4
320483,2,1.0,1,2,1.0,1.0,4
320484,1,1.0,3,1,1.0,3.0,3
320485,1,3.0,7,1,1.0,2.0,3
320486,2,1.0,3,1,1.0,1.0,5
320487,2,1.0,1,2,1.0,1.0,5
320488,1,1.0,2,2,1.0,1.0,5
320489,1,2.0,5,1,1.0,1.0,3
320490,2,3.0,7,1,1.0,2.0,4
320491,1,3.0,7,1,1.0,2.0,4
320492,1,1.0,4,1,2.0,1.0,5
320493,2,1.0,2,1,1.0,1.0,5
320494,2,2.0,5,1,1.0,1.0,4
320495,2,1.0,2,1,1.0,1.0,5
320496,2,1.0,6,1,1.0,2.0,4
320497,1,2.0,2,2,3.0,3.0,4
320498,2,1.0,2,1,1.0,1.0,5
320499,1,1.0,4,1,1.0,1.0,5
320501,1,2.0,1,2,3.0,3.0,3
320502,2,4.0,6,2,1.0,2.0,4
320503,1,2.0,7,1,1.0,2.0,5
320504,1,2.0,5,1,,1.0,5
320505,2,1.0,4,2,1.0,1.0,4
320506,2,3.0,7,2,,2.0,3
320507,1,2.0,2,2,1.0,1.0,5
320509,2,2.0,7,1,1.0,2.0,5
320510,1,2.0,7,1,1.0,2.0,5
320512,2,1.0,3,1,3.0,3.0,4
320513,1,1.0,5,1,1.0,1.0,5
320514,2,2.0,3,2,1.0,1.0,5
320515,2,2.0,5,1,1.0,1.0,4
320516,1,2.0,2,2,1.0,3.0,3
320517,2,2.0,4,2,3.0,1.0,5
320518,1,3.0,6,1,1.0,2.0,4
320521,2,2.0,6,2,1.0,2.0,4
320522,1,2.0,3,1,1.0,1.0,4
320523,1,1.0,3,2,,1.0,5
320524,1,3.0,1,2,1.0,3.0,3
320525,1,2.0,5,2,1.0,1.0,5
320527,1,3.0,4,2,1.0,3.0,4
320528,2,2.0,6,1,1.0,1.0,4
320530,1,2.0,2,2,3.0,1.0,3
320531,2,1.0,1,1,1.0,3.0,5
320532,1,1.0,2,1,,1.0,5
320533,1,1.0,2,1,1.0,1.0,5
320535,1,1.0,3,2,3.0,3.0,3
320537,2,1.0,4,1,1.0,1.0,5
320538,2,3.0,6,1,1.0,2.0,5
320539,2,2.0,2,2,3.0,1.0,5
320540,1,1.0,3,2,1.0,1.0,5
320541,2,1.0,3,2,1.0,3.0,5
320543,2,2.0,7,2,1.0,2.0,4
320544,2,4.0,6,1,1.0,3.0,5
320546,1,1.0,2,1,1.0,1.0,5
320548,2,3.0,5,1,1.0,2.0,3
320549,1,1.0,1,2,1.0,1.0,5
320550,2,1.0,5,1,1.0,1.0,4
320552,1,2.0,3,2,3.0,3.0,3
320553,2,2.0,5,1,1.0,1.0,5
320554,1,1.0,4,2,1.0,1.0,5
320555,2,1.0,5,1,1.0,1.0,3
320556,2,3.0,6,1,1.0,2.0,5
320558,2,3.0,7,2,1.0,2.0,3
320559,1,2.0,3,2,1.0,1.0,5
320560,2,1.0,6,1,1.0,2.0,4
320561,2,2.0,4,1,1.0,1.0,4
320562,1,2.0,4,1,1.0,1.0,4
320563,1,2.0,4,2,,1.0,5
320564,2,3.0,5,2,1.0,1.0,5
320565,2,4.0,4,2,1.0,1.0,3
320566,2,4.0,6,2,3.0,2.0,3
320567,1,2.0,5,2,1.0,3.0,3
320568,2,1.0,3,1,1.0,1.0,5
320569,2,1.0,2,1,1.0,1.0,5
320570,2,3.0,5,1,1.0,2.0,4
320572,2,1.0,7,2,1.0,1.0,5
320574,2,2.0,7,2,1.0,2.0,4
320576,1,2.0,5,1,1.0,2.0,3
320577,2,1.0,3,1,1.0,1.0,4
320578,2,3.0,2,2,3.0,1.0,5
320580,1,4.0,7,1,1.0,2.0,4
320581,2,1.0,3,2,1.0,3.0,4
320582,1,4.0,5,1,1.0,3.0,3
320583,2,1.0,4,1,3.0,1.0,5
320584,1,1.0,1,2,3.0,3.0,4
320585,2,,1,2,,,5
320586,2,3.0,7,1,1.0,2.0,4
320587,2,3.0,5,1,1.0,1.0,5
320588,2,2.0,2,1,1.0,1.0,5
320589,1,1.0,4,2,1.0,1.0,4
320590,1,2.0,4,2,1.0,3.0,3
320591,1,2.0,4,1,3.0,1.0,5
320592,2,2.0,4,1,1.0,1.0,3
320593,1,5.0,6,2,1.0,2.0,3
320594,2,2.0,4,2,1.0,1.0,5
320595,2,1.0,2,2,1.0,1.0,4
320596,1,1.0,1,2,3.0,1.0,5
320598,2,4.0,5,1,1.0,3.0,3
320599,2,1.0,5,2,1.0,1.0,5
320600,2,1.0,4,1,1.0,1.0,5
320602,1,2.0,7,1,3.0,2.0,4
320603,2,1.0,3,1,1.0,3.0,5
320604,1,1.0,2,2,3.0,1.0,4
320605,1,1.0,5,1,1.0,1.0,5
320606,1,1.0,4,1,1.0,1.0,5
320609,1,2.0,6,1,1.0,2.0,4
320610,2,2.0,2,2,3.0,1.0,4
320611,1,3.0,5,1,1.0,3.0,3
320612,1,2.0,5,1,1.0,1.0,4
320613,2,2.0,6,1,1.0,2.0,4
320614,2,1.0,3,1,1.0,1.0,5
320615,2,2.0,6,1,1.0,2.0,4
320616,2,1.0,2,2,3.0,1.0,4
320617,2,2.0,6,2,3.0,2.0,3
320618,1,3.0,7,1,1.0,2.0,4
320619,1,2.0,6,1,1.0,2.0,4
320620,1,1.0,1,2,3.0,3.0,5
320621,2,3.0,6,2,1.0,1.0,4
320624,2,3.0,7,2,1.0,3.0,4
320625,2,2.0,3,2,3.0,3.0,4
320626,1,1.0,4,1,1.0,1.0,5
320627,1,1.0,3,1,3.0,1.0,5
320628,2,4.0,2,1,3.0,3.0,3
320631,2,1.0,2,1,1.0,1.0,5
320632,2,4.0,5,2,1.0,2.0,4
320633,1,1.0,1,2,3.0,1.0,5
320635,1,1.0,1,2,3.0,11.0,4
320636,1,2.0,2,2,,1.0,5
320637,2,1.0,1,2,1.0,1.0,4
320638,1,2.0,4,1,3.0,3.0,3
320639,1,1.0,5,1,1.0,1.0,5
320641,2,2.0,4,1,1.0,3.0,5
320642,1,2.0,4,2,1.0,1.0,5
320644,1,3.0,6,1,1.0,2.0,4
320645,2,2.0,3,1,3.0,1.0,5
320646,1,2.0,4,1,1.0,1.0,5
320647,2,3.0,6,2,1.0,2.0,3
320648,2,3.0,5,1,1.0,2.0,4
320649,2,3.0,6,1,1.0,2.0,4
320650,2,1.0,3,2,1.0,1.0,5
320652,2,1.0,4,2,1.0,3.0,3
320653,2,1.0,2,2,3.0,1.0,4
320654,2,3.0,5,1,1.0,2.0,4
320656,1,3.0,7,1,1.0,2.0,3
320658,1,3.0,7,2,1.0,2.0,3
320659,1,3.0,5,1,,1.0,5
320660,2,2.0,5,1,1.0,1.0,5
320661,2,1.0,4,1,1.0,1.0,5
320662,1,1.0,3,1,1.0,1.0,5
320663,2,1.0,2,2,1.0,1.0,3
320664,1,1.0,1,2,1.0,3.0,4
320668,1,1.0,2,2,1.0,1.0,3
320669,1,4.0,6,2,1.0,2.0,3
320670,1,2.0,5,2,1.0,3.0,3
320671,2,2.0,1,2,3.0,1.0,4
320672,1,1.0,3,1,3.0,1.0,4
320673,2,2.0,5,1,1.0,1.0,5
320674,2,2.0,5,1,1.0,1.0,4
320675,1,3.0,6,2,1.0,2.0,4
320676,2,3.0,6,1,1.0,2.0,3
320677,2,1.0,2,2,3.0,1.0,4
320679,1,2.0,5,2,,1.0,5
320680,2,2.0,5,2,3.0,2.0,4
320681,1,3.0,6,1,1.0,2.0,4
320682,2,2.0,5,1,1.0,1.0,4
320683,1,1.0,5,1,1.0,1.0,5
320684,2,2.0,4,1,3.0,1.0,5
320685,1,2.0,3,2,1.0,1.0,5
320686,2,3.0,6,2,1.0,2.0,3
320687,2,3.0,5,1,,3.0,3
320688,2,1.0,3,2,3.0,3.0,4
320689,1,1.0,3,1,3.0,1.0,4
320690,1,3.0,6,1,3.0,2.0,3
320691,1,3.0,2,2,3.0,3.0,4
320692,1,2.0,5,1,1.0,2.0,5
320693,2,3.0,7,2,1.0,2.0,3
320694,1,1.0,4,1,1.0,1.0,5
320696,1,2.0,6,2,1.0,2.0,4
320697,2,1.0,4,2,1.0,1.0,5
320700,1,2.0,3,2,1.0,3.0,4
320702,1,3.0,6,1,1.0,2.0,4
320703,1,2.0,3,2,3.0,1.0,4
320705,1,2.0,1,2,3.0,3.0,3
320707,1,2.0,2,2,3.0,1.0,3
320708,1,4.0,3,2,,1.0,4
320709,1,1.0,2,2,1.0,1.0,5
320710,1,3.0,4,2,1.0,1.0,4
320711,1,,1,2,,,3
320713,1,3.0,7,1,1.0,2.0,3
320714,2,1.0,3,1,,3.0,3
320715,1,5.0,5,1,1.0,2.0,4
320716,1,3.0,2,2,3.0,3.0,3
320717,1,2.0,3,1,1.0,1.0,4
320718,1,5.0,5,2,3.0,3.0,5
320719,1,1.0,4,1,1.0,1.0,3
320720,2,5.0,6,1,1.0,2.0,4
320721,1,1.0,2,1,3.0,1.0,5
320722,2,1.0,2,2,1.0,1.0,3
320723,2,1.0,4,1,1.0,1.0,4
320726,2,1.0,4,1,,1.0,4
320727,2,1.0,1,2,1.0,1.0,4
320728,2,2.0,5,2,3.0,1.0,5
320729,2,1.0,2,1,2.0,1.0,4
320730,2,3.0,7,1,,2.0,4
320731,1,3.0,3,2,1.0,3.0,4
320732,1,2.0,5,1,1.0,1.0,4
320734,1,1.0,2,1,1.0,1.0,5
320735,2,1.0,2,2,1.0,1.0,5
320736,2,4.0,5,2,3.0,2.0,3
320737,1,1.0,3,1,3.0,1.0,5
320740,1,4.0,7,1,,2.0,3
320742,2,2.0,1,2,3.0,1.0,5
320743,1,1.0,2,1,,1.0,5
320744,2,1.0,2,1,3.0,1.0,5
320745,2,1.0,1,2,2.0,1.0,5
320746,2,2.0,7,2,1.0,2.0,4
320749,1,2.0,4,1,1.0,1.0,3
320750,2,4.0,7,2,1.0,2.0,4
320751,2,2.0,4,2,1.0,1.0,5
320753,1,1.0,5,1,1.0,1.0,5
320754,2,1.0,2,1,3.0,1.0,5
320755,2,2.0,5,2,3.0,1.0,5
320757,2,2.0,7,2,1.0,2.0,3
320758,2,1.0,4,1,1.0,1.0,5
320759,2,1.0,5,1,1.0,1.0,5
320760,1,4.0,5,1,1.0,1.0,4
320761,2,1.0,5,1,1.0,1.0,5
320762,2,1.0,5,1,1.0,1.0,3
320763,2,2.0,7,1,1.0,2.0,5
320764,1,1.0,1,2,3.0,3.0,4
320765,2,1.0,6,1,1.0,2.0,4
320766,1,2.0,6,1,,2.0,4
320767,2,2.0,5,1,3.0,1.0,4
320768,1,,1,2,,,5
320769,2,1.0,5,1,3.0,3.0,5
320770,2,1.0,5,2,3.0,1.0,4
320771,1,2.0,3,2,3.0,1.0,5
320772,1,1.0,4,1,1.0,1.0,5
320774,1,1.0,2,1,1.0,1.0,4
320775,2,5.0,3,2,1.0,3.0,3
320776,1,2.0,7,1,1.0,2.0,4
320777,2,3.0,7,2,1.0,2.0,3
320778,1,3.0,4,2,1.0,1.0,4
320781,1,3.0,6,2,1.0,1.0,3
320782,2,3.0,7,1,1.0,2.0,3
320783,2,2.0,7,2,3.0,2.0,4
320785,1,2.0,5,1,1.0,3.0,4
320786,2,2.0,6,2,,3.0,4
320787,1,2.0,6,1,,2.0,4
320788,2,4.0,7,2,1.0,2.0,3
320789,2,2.0,4,1,1.0,1.0,5
320790,1,2.0,3,2,3.0,1.0,5
320791,2,1.0,2,2,1.0,3.0,5
320793,2,2.0,2,1,3.0,1.0,5
320794,1,2.0,3,1,1.0,1.0,4
320795,1,2.0,5,2,,1.0,3
320796,2,1.0,6,1,1.0,1.0,4
320797,2,1.0,6,2,1.0,1.0,4
320798,2,1.0,2,1,1.0,1.0,5
320799,1,2.0,4,1,1.0,2.0,4
320802,1,2.0,1,2,1.0,1.0,4
320803,2,2.0,6,2,1.0,2.0,5
320804,2,2.0,5,1,1.0,1.0,5
320805,2,2.0,6,1,1.0,2.0,4
320806,2,2.0,5,2,3.0,1.0,5
320807,1,2.0,5,2,1.0,1.0,4
320808,2,4.0,7,1,1.0,2.0,3
320809,1,1.0,1,2,1.0,3.0,4
320810,1,1.0,1,2,,1.0,5
320811,2,3.0,6,1,1.0,2.0,4
320813,1,2.0,3,1,1.0,1.0,5
320814,2,1.0,2,2,3.0,3.0,5
320815,1,3.0,7,1,1.0,2.0,3
320816,2,2.0,6,1,1.0,1.0,3
320817,2,1.0,3,1,3.0,1.0,5
320818,2,2.0,6,1,1.0,2.0,4
320819,1,2.0,6,2,1.0,2.0,4
