,RespSex,Q6_1,age_dv,marstat2,religion_dv,workstat2,wimd_2014_quintile
154891,2,1.0,3,2,1.0,3.0,4
154892,1,1.0,2,2,1.0,1.0,5
154893,1,2.0,2,2,3.0,1.0,5
154894,2,3.0,6,1,1.0,1.0,4
154896,2,1.0,4,1,1.0,1.0,5
154897,2,2.0,5,1,1.0,1.0,3
154900,1,1.0,1,2,3.0,1.0,4
154901,1,2.0,5,1,1.0,2.0,4
154902,2,1.0,2,1,1.0,1.0,5
154903,1,1.0,1,2,1.0,1.0,5
154904,2,2.0,3,1,1.0,1.0,5
154905,1,3.0,7,2,1.0,2.0,4
154907,1,1.0,2,2,1.0,1.0,5
154908,1,2.0,2,2,3.0,1.0,5
154909,2,1.0,4,1,1.0,1.0,5
154911,1,2.0,4,1,3.0,1.0,5
154912,1,1.0,4,2,1.0,3.0,4
154913,2,2.0,3,1,1.0,1.0,4
154914,2,2.0,6,1,1.0,2.0,4
154915,2,2.0,7,1,1.0,2.0,3
154916,2,2.0,3,2,1.0,3.0,4
154917,2,1.0,6,1,1.0,1.0,5
154919,1,2.0,5,2,1.0,1.0,4
154920,1,1.0,6,1,1.0,2.0,5
154921,1,1.0,1,2,3.0,1.0,4
154922,2,2.0,7,1,1.0,1.0,5
154923,2,1.0,3,1,1.0,1.0,5
154924,2,3.0,3,1,1.0,3.0,3
154926,2,2.0,4,1,3.0,3.0,4
154927,2,1.0,2,1,1.0,3.0,5
154928,1,3.0,5,2,1.0,3.0,5
154930,1,2.0,5,1,1.0,1.0,3
154931,1,2.0,2,1,3.0,1.0,5
154932,2,2.0,5,1,1.0,1.0,4
154934,2,2.0,1,2,1.0,3.0,5
154935,2,2.0,7,2,1.0,3.0,3
154937,1,5.0,5,1,1.0,3.0,3
154939,2,1.0,7,2,1.0,2.0,3
154940,2,1.0,1,2,1.0,1.0,5
154941,2,2.0,5,2,1.0,1.0,5
154942,2,1.0,4,1,1.0,1.0,5
154944,2,2.0,5,2,3.0,1.0,4
154945,1,1.0,1,2,1.0,1.0,5
154946,2,1.0,1,2,1.0,1.0,4
154948,2,2.0,4,1,3.0,3.0,4
154950,2,2.0,2,1,3.0,1.0,5
154951,2,3.0,6,1,1.0,2.0,4
154952,1,1.0,7,1,1.0,2.0,4
154954,2,2.0,4,1,1.0,3.0,5
154955,2,1.0,5,1,1.0,1.0,5
154957,2,3.0,7,2,1.0,2.0,4
154958,1,3.0,5,2,3.0,1.0,4
154959,2,2.0,4,2,,1.0,5
154960,1,3.0,5,2,3.0,1.0,5
154961,1,5.0,6,1,1.0,2.0,3
154962,1,2.0,3,1,1.0,1.0,5
154963,2,1.0,4,1,3.0,1.0,5
154964,2,3.0,6,1,1.0,2.0,4
154965,2,2.0,5,2,1.0,1.0,5
154966,2,1.0,3,1,1.0,3.0,4
154967,2,1.0,3,1,1.0,1.0,3
154968,1,1.0,3,1,1.0,1.0,4
154969,2,1.0,2,2,1.0,1.0,5
154970,1,3.0,5,2,1.0,2.0,4
154973,2,5.0,6,1,1.0,3.0,3
154974,1,3.0,6,1,1.0,2.0,4
154976,2,1.0,4,2,3.0,1.0,5
154979,1,3.0,5,1,3.0,3.0,4
154980,1,1.0,4,2,2.0,1.0,5
154981,2,2.0,5,1,3.0,2.0,5
154982,1,1.0,3,2,1.0,1.0,5
154983,1,1.0,2,2,1.0,1.0,5
154986,1,1.0,2,2,3.0,1.0,4
154987,2,2.0,4,1,1.0,1.0,5
154991,1,1.0,1,2,3.0,11.0,5
154992,1,2.0,2,2,1.0,3.0,4
154993,1,2.0,1,2,1.0,3.0,5
154994,2,1.0,1,2,,1.0,4
154995,2,3.0,1,2,3.0,1.0,4
154996,2,3.0,1,2,1.0,3.0,5
154997,2,2.0,5,1,1.0,1.0,5
154998,2,2.0,6,2,,1.0,4
154999,2,3.0,7,2,1.0,2.0,4
155001,1,4.0,3,2,1.0,3.0,4
155002,2,2.0,6,2,,2.0,4
155006,1,3.0,6,2,1.0,2.0,3
155007,1,1.0,2,1,3.0,1.0,5
155008,1,1.0,4,2,1.0,1.0,4
155009,1,3.0,7,2,1.0,2.0,3
155010,2,3.0,5,1,1.0,3.0,3
155014,1,1.0,1,2,1.0,1.0,5
155015,2,2.0,6,2,1.0,1.0,5
155016,2,1.0,2,2,3.0,3.0,3
155017,1,2.0,5,2,3.0,3.0,4
155018,1,1.0,1,2,3.0,1.0,5
155019,1,2.0,5,1,1.0,1.0,4
155020,2,2.0,6,1,1.0,2.0,4
155021,1,3.0,2,2,3.0,3.0,4
155022,2,1.0,3,2,,1.0,5
155023,2,1.0,1,2,1.0,1.0,5
155024,2,4.0,7,2,1.0,2.0,3
155025,1,3.0,6,2,3.0,1.0,4
155026,1,1.0,1,2,3.0,1.0,5
155028,2,2.0,4,1,1.0,1.0,3
155029,2,2.0,7,1,1.0,2.0,5
