,Q6_1,RespSex,age_dv,marstat2,religion_dv,source,wimd_2014_quintile,workstat2
3839,,2,,1.0,1.0,survey,,
3849,,2,,2.0,1.0,survey,,
3880,,2,,1.0,1.0,survey,,
3887,,1,,2.0,1.0,survey,,
3895,,2,,2.0,1.0,survey,,
3903,,1,,1.0,1.0,survey,,
3943,,1,,1.0,3.0,survey,,
3959,,2,,2.0,3.0,survey,,
3982,,2,,2.0,3.0,survey,,
4000,,1,,1.0,1.0,survey,,
4010,,2,,1.0,3.0,survey,,
4017,,2,,1.0,1.0,survey,,
4064,,1,,2.0,1.0,survey,,
4085,,2,,1.0,1.0,survey,,
4116,,2,,1.0,1.0,survey,,
4118,,2,,1.0,1.0,survey,,
4135,,2,,2.0,1.0,survey,,
4177,,2,,2.0,1.0,survey,,
4206,,2,,2.0,3.0,survey,,
4240,,1,,1.0,1.0,survey,,
4248,,2,,2.0,1.0,survey,,
4265,,2,,1.0,1.0,survey,,
4291,,1,,2.0,3.0,survey,,
4311,,1,,2.0,3.0,survey,,
4321,,2,,1.0,1.0,survey,,
4361,,2,,2.0,3.0,survey,,
4381,,2,,2.0,1.0,survey,,
4383,,1,,1.0,1.0,survey,,
4408,,2,,1.0,1.0,survey,,
4431,,2,,2.0,1.0,survey,,
4471,,2,,1.0,3.0,survey,,
4502,,1,,2.0,1.0,survey,,
4564,,1,,1.0,1.0,survey,,
4581,,1,,1.0,1.0,survey,,
4615,,1,,1.0,1.0,survey,,
4676,,1,,1.0,1.0,survey,,
4695,,2,,2.0,1.0,survey,,
4823,,1,,1.0,1.0,survey,,
4828,,1,,2.0,1.0,survey,,
4847,,1,,2.0,3.0,survey,,
4851,,2,,2.0,1.0,survey,,
4878,,2,,2.0,1.0,survey,,
4914,,1,,1.0,1.0,survey,,
4919,,1,,2.0,1.0,survey,,
4980,,1,,1.0,3.0,survey,,
4983,,2,,2.0,1.0,survey,,
4993,,2,,1.0,3.0,survey,,
5007,,2,,2.0,1.0,survey,,
5010,,1,,2.0,1.0,survey,,
5021,,2,,1.0,1.0,survey,,
5047,,2,,2.0,3.0,survey,,
5056,,2,,1.0,3.0,survey,,
5098,,2,,2.0,1.0,survey,,
5163,,1,,1.0,2.0,survey,,
5200,,1,,2.0,1.0,survey,,
5207,,2,,2.0,1.0,survey,,
5214,,2,,2.0,1.0,survey,,
5222,,2,,1.0,1.0,survey,,
5283,,1,,1.0,1.0,survey,,
5302,,2,,2.0,1.0,survey,,
5319,,2,,2.0,1.0,survey,,
5320,,1,,2.0,3.0,survey,,
5343,,1,,2.0,1.0,survey,,
5350,,2,,1.0,1.0,survey,,
5365,,2,,2.0,1.0,survey,,
5378,,1,,2.0,3.0,survey,,
5381,,2,,1.0,3.0,survey,,
5405,,2,,2.0,1.0,survey,,
5409,,2,,2.0,3.0,survey,,
5414,,1,,1.0,3.0,survey,,
5423,,1,,2.0,3.0,survey,,
5425,,2,,1.0,1.0,survey,,
5433,,2,,2.0,1.0,survey,,
5441,,2,,2.0,3.0,survey,,
5447,,1,,2.0,3.0,survey,,
5450,,2,,1.0,1.0,survey,,
5452,,2,,1.0,3.0,survey,,
5454,,2,,2.0,1.0,survey,,
5461,,1,,2.0,1.0,survey,,
5470,,2,,2.0,3.0,survey,,
5471,,2,,1.0,1.0,survey,,
5478,,1,,1.0,1.0,survey,,
5480,,2,,2.0,3.0,survey,,
5486,,1,,2.0,3.0,survey,,
5489,,1,,1.0,1.0,survey,,
5490,,2,,2.0,1.0,survey,,
5493,,2,,2.0,1.0,survey,,
5495,,2,,1.0,1.0,survey,,
5511,,2,,2.0,1.0,survey,,
5512,,1,,2.0,3.0,survey,,
5513,,1,,2.0,3.0,survey,,
5514,,2,,1.0,3.0,survey,,
5517,,1,,2.0,1.0,survey,,
5526,,1,,1.0,3.0,survey,,
5528,,2,,2.0,1.0,survey,,
5531,,1,,1.0,1.0,survey,,
5538,,1,,1.0,1.0,survey,,
5548,,1,,1.0,3.0,survey,,
5555,,2,,2.0,1.0,survey,,
5566,,2,,2.0,3.0,survey,,
5567,,1,,2.0,3.0,survey,,
5568,,1,,2.0,1.0,survey,,
5574,,2,,2.0,3.0,survey,,
5576,,2,,1.0,3.0,survey,,
5590,,2,,1.0,1.0,survey,,
5603,,1,,1.0,1.0,survey,,
5610,,1,,2.0,3.0,survey,,
5615,,2,,1.0,3.0,survey,,
5623,,2,,1.0,1.0,survey,,
5626,,2,,1.0,1.0,survey,,
5634,,1,,1.0,1.0,survey,,
5638,,1,,2.0,1.0,survey,,
