,Q6_1,RespSex,age_dv,marstat2,religion_dv,source,wimd_2014_quintile,workstat2
325566,2.0,1,2.0,1.0,3.0,census,4.0,1.0
325569,1.0,2,3.0,2.0,3.0,census,5.0,1.0
325572,3.0,1,3.0,2.0,3.0,census,4.0,1.0
325574,2.0,2,3.0,2.0,1.0,census,3.0,3.0
325575,2.0,2,4.0,1.0,1.0,census,5.0,1.0
325576,1.0,1,2.0,2.0,1.0,census,5.0,1.0
325577,5.0,2,5.0,1.0,3.0,census,4.0,2.0
325579,2.0,1,7.0,1.0,1.0,census,3.0,2.0
325580,2.0,2,5.0,1.0,,census,4.0,2.0
325581,5.0,2,5.0,2.0,1.0,census,4.0,2.0
325582,1.0,2,2.0,1.0,1.0,census,5.0,1.0
325583,2.0,1,7.0,2.0,1.0,census,4.0,2.0
325585,4.0,1,5.0,1.0,3.0,census,4.0,3.0
325586,2.0,2,3.0,2.0,1.0,census,5.0,3.0
325587,1.0,1,2.0,2.0,3.0,census,5.0,1.0
325588,4.0,1,6.0,1.0,1.0,census,3.0,2.0
325589,2.0,2,2.0,1.0,3.0,census,3.0,1.0
325592,2.0,1,4.0,2.0,3.0,census,3.0,3.0
325593,2.0,1,1.0,2.0,3.0,census,4.0,3.0
325594,2.0,1,5.0,1.0,1.0,census,4.0,1.0
325595,1.0,1,3.0,2.0,3.0,census,5.0,1.0
325597,2.0,2,4.0,2.0,3.0,census,5.0,1.0
325598,1.0,1,2.0,2.0,1.0,census,5.0,1.0
325599,2.0,2,2.0,1.0,1.0,census,5.0,3.0
325600,1.0,2,1.0,2.0,1.0,census,5.0,1.0
325601,1.0,2,2.0,1.0,1.0,census,5.0,3.0
325604,2.0,2,3.0,1.0,1.0,census,5.0,1.0
325605,1.0,1,2.0,2.0,3.0,census,3.0,3.0
325606,3.0,2,6.0,2.0,1.0,census,4.0,2.0
325607,5.0,1,7.0,2.0,1.0,census,4.0,3.0
325608,3.0,2,4.0,1.0,1.0,census,3.0,3.0
325609,3.0,1,7.0,1.0,1.0,census,4.0,2.0
325610,2.0,1,1.0,2.0,3.0,census,4.0,3.0
325611,1.0,2,2.0,2.0,3.0,census,5.0,1.0
325612,1.0,2,5.0,2.0,1.0,census,4.0,3.0
325613,5.0,1,6.0,1.0,1.0,census,4.0,3.0
325614,2.0,1,7.0,2.0,3.0,census,4.0,2.0
325615,1.0,2,4.0,2.0,3.0,census,4.0,1.0
325616,3.0,1,6.0,2.0,1.0,census,4.0,2.0
325617,5.0,1,5.0,1.0,1.0,census,3.0,3.0
325618,4.0,2,6.0,1.0,1.0,census,3.0,3.0
325619,4.0,2,5.0,1.0,1.0,census,3.0,2.0
325620,4.0,2,5.0,2.0,1.0,census,3.0,2.0
325621,3.0,2,7.0,1.0,1.0,census,3.0,2.0
325622,2.0,2,5.0,2.0,1.0,census,5.0,1.0
325623,4.0,2,7.0,2.0,3.0,census,3.0,2.0
325625,2.0,1,4.0,2.0,1.0,census,4.0,3.0
325626,1.0,1,1.0,2.0,1.0,census,5.0,1.0
325627,3.0,1,7.0,1.0,1.0,census,3.0,1.0
325628,2.0,2,5.0,2.0,1.0,census,3.0,3.0
325630,3.0,1,7.0,1.0,,census,3.0,1.0
325631,5.0,1,5.0,1.0,3.0,census,3.0,1.0
325632,5.0,1,5.0,2.0,1.0,census,3.0,2.0
325633,3.0,2,3.0,2.0,3.0,census,4.0,1.0
325634,2.0,1,5.0,1.0,1.0,census,3.0,1.0
325635,2.0,1,7.0,1.0,1.0,census,5.0,2.0
325636,3.0,1,5.0,1.0,1.0,census,4.0,1.0
325637,2.0,1,1.0,2.0,3.0,census,5.0,1.0
325638,4.0,2,5.0,1.0,3.0,census,4.0,3.0
325639,2.0,2,4.0,2.0,1.0,census,5.0,1.0
325640,4.0,1,7.0,2.0,3.0,census,4.0,2.0
325641,1.0,2,6.0,1.0,1.0,census,3.0,2.0
325643,2.0,1,1.0,2.0,1.0,census,4.0,1.0
325644,2.0,1,6.0,1.0,3.0,census,4.0,2.0
325645,2.0,1,5.0,2.0,1.0,census,4.0,1.0
325647,1.0,1,1.0,2.0,1.0,census,4.0,3.0
325648,3.0,1,3.0,1.0,3.0,census,4.0,1.0
325649,5.0,2,4.0,1.0,1.0,census,3.0,3.0
325650,1.0,2,2.0,1.0,3.0,census,4.0,1.0
325651,3.0,2,4.0,2.0,3.0,census,3.0,3.0
325652,4.0,1,5.0,1.0,1.0,census,3.0,3.0
325654,4.0,1,6.0,1.0,1.0,census,3.0,2.0
325655,3.0,2,5.0,1.0,,census,3.0,3.0
325656,2.0,1,5.0,1.0,1.0,census,4.0,1.0
325658,2.0,1,4.0,1.0,1.0,census,4.0,3.0
325659,1.0,2,2.0,2.0,,census,5.0,1.0
325661,1.0,2,1.0,1.0,1.0,census,4.0,1.0
325662,1.0,2,7.0,2.0,1.0,census,3.0,2.0
325663,1.0,2,6.0,2.0,1.0,census,4.0,2.0
325664,3.0,2,6.0,2.0,1.0,census,3.0,2.0
325666,1.0,2,2.0,2.0,3.0,census,4.0,3.0
325667,3.0,2,7.0,2.0,1.0,census,3.0,2.0
325668,1.0,1,3.0,1.0,3.0,census,5.0,1.0
325671,3.0,1,5.0,2.0,1.0,census,3.0,3.0
325672,1.0,2,2.0,2.0,1.0,census,5.0,1.0
325673,3.0,1,4.0,1.0,3.0,census,4.0,1.0
325674,2.0,1,6.0,1.0,1.0,census,4.0,2.0
325675,,1,1.0,2.0,,census,5.0,
325677,2.0,1,6.0,1.0,1.0,census,3.0,2.0
325678,1.0,2,1.0,2.0,3.0,census,5.0,3.0
325679,2.0,1,4.0,2.0,,census,5.0,1.0
325680,2.0,1,1.0,2.0,3.0,census,4.0,1.0
325681,1.0,1,4.0,1.0,3.0,census,5.0,1.0
325682,2.0,1,5.0,2.0,3.0,census,5.0,1.0
325683,2.0,2,1.0,2.0,3.0,census,3.0,3.0
325684,1.0,2,1.0,2.0,3.0,census,4.0,1.0
325685,2.0,1,4.0,1.0,,census,4.0,1.0
325686,1.0,1,3.0,1.0,3.0,census,5.0,1.0
325687,1.0,2,2.0,2.0,1.0,census,3.0,1.0
325689,3.0,2,6.0,1.0,,census,3.0,2.0
325691,1.0,2,1.0,1.0,3.0,census,4.0,1.0
325692,2.0,2,3.0,2.0,1.0,census,4.0,1.0
325693,1.0,2,1.0,2.0,3.0,census,3.0,1.0
325694,1.0,1,4.0,2.0,3.0,census,3.0,3.0
325695,2.0,1,4.0,1.0,,census,4.0,1.0
325697,1.0,1,1.0,2.0,3.0,census,5.0,1.0
325698,2.0,2,3.0,2.0,3.0,census,4.0,1.0
325699,1.0,1,5.0,1.0,1.0,census,5.0,1.0
325700,1.0,2,2.0,2.0,3.0,census,3.0,3.0
325701,1.0,1,2.0,1.0,3.0,census,5.0,1.0
325702,2.0,1,5.0,1.0,,census,4.0,1.0
325703,3.0,2,6.0,1.0,1.0,census,5.0,2.0
325705,2.0,1,5.0,2.0,,census,5.0,1.0
325706,2.0,2,7.0,2.0,1.0,census,3.0,2.0
325707,4.0,2,6.0,1.0,1.0,census,3.0,2.0
325708,2.0,2,5.0,1.0,1.0,census,3.0,2.0
325710,3.0,2,6.0,2.0,1.0,census,3.0,2.0
325711,3.0,2,7.0,1.0,1.0,census,3.0,2.0
325712,2.0,2,4.0,1.0,3.0,census,5.0,1.0
325713,1.0,1,2.0,2.0,3.0,census,4.0,1.0
325714,2.0,2,3.0,1.0,1.0,census,5.0,1.0
325716,2.0,2,1.0,2.0,3.0,census,4.0,3.0
325717,1.0,1,2.0,2.0,1.0,census,4.0,1.0
325719,2.0,2,5.0,1.0,1.0,census,3.0,1.0
325720,3.0,1,7.0,2.0,1.0,census,4.0,2.0
325721,2.0,2,4.0,1.0,1.0,census,5.0,2.0
325722,1.0,2,4.0,1.0,1.0,census,5.0,1.0
325726,1.0,1,2.0,2.0,3.0,census,4.0,3.0
325727,2.0,2,6.0,2.0,3.0,census,4.0,2.0
325728,2.0,1,1.0,2.0,1.0,census,5.0,1.0
325730,3.0,2,4.0,2.0,1.0,census,5.0,1.0
325731,2.0,1,5.0,2.0,1.0,census,4.0,3.0
325732,3.0,1,2.0,1.0,1.0,census,3.0,3.0
325733,1.0,2,6.0,2.0,1.0,census,4.0,1.0
325734,1.0,1,2.0,2.0,3.0,census,5.0,1.0
325735,3.0,2,4.0,1.0,,census,4.0,1.0
325736,1.0,1,4.0,2.0,3.0,census,5.0,1.0
325737,2.0,2,2.0,2.0,3.0,census,5.0,1.0
325738,4.0,2,3.0,2.0,3.0,census,3.0,3.0
325740,1.0,1,2.0,2.0,3.0,census,4.0,1.0
325741,1.0,2,2.0,2.0,3.0,census,5.0,1.0
325742,1.0,1,1.0,1.0,1.0,census,5.0,1.0
325743,1.0,1,6.0,1.0,,census,5.0,2.0
325745,1.0,2,5.0,1.0,1.0,census,5.0,1.0
325747,1.0,2,1.0,2.0,3.0,census,4.0,3.0
325749,2.0,1,5.0,2.0,1.0,census,5.0,1.0
325750,2.0,1,4.0,1.0,3.0,census,5.0,1.0
325751,2.0,1,4.0,1.0,2.0,census,4.0,1.0
325752,1.0,2,1.0,2.0,1.0,census,5.0,3.0
325753,2.0,1,2.0,2.0,1.0,census,4.0,3.0
325754,3.0,1,4.0,1.0,3.0,census,4.0,1.0
325755,2.0,1,5.0,1.0,1.0,census,5.0,1.0
325759,1.0,2,1.0,2.0,,census,4.0,1.0
325760,3.0,2,7.0,1.0,,census,4.0,2.0
325761,3.0,1,5.0,1.0,,census,4.0,2.0
325762,2.0,1,4.0,1.0,1.0,census,5.0,1.0
325763,2.0,1,2.0,2.0,3.0,census,5.0,1.0
325764,2.0,2,3.0,2.0,2.0,census,5.0,1.0
325765,1.0,1,1.0,2.0,3.0,census,4.0,3.0
325766,1.0,2,2.0,1.0,3.0,census,5.0,3.0
325767,1.0,2,1.0,2.0,1.0,census,5.0,1.0
325768,2.0,1,2.0,2.0,3.0,census,4.0,1.0
325769,2.0,1,5.0,1.0,1.0,census,4.0,1.0
325771,1.0,1,4.0,2.0,3.0,census,5.0,3.0
325772,2.0,1,4.0,1.0,1.0,census,5.0,1.0
325773,3.0,1,6.0,2.0,1.0,census,4.0,2.0
325774,4.0,2,5.0,1.0,1.0,census,3.0,3.0
325775,2.0,2,1.0,2.0,1.0,census,5.0,3.0
325776,,2,1.0,2.0,,census,5.0,
325777,1.0,1,1.0,2.0,1.0,census,5.0,1.0
325778,2.0,1,4.0,2.0,1.0,census,5.0,1.0
325779,1.0,2,6.0,2.0,1.0,census,5.0,2.0
325780,3.0,2,7.0,1.0,1.0,census,3.0,2.0
325781,1.0,1,1.0,2.0,1.0,census,5.0,3.0
325782,2.0,2,6.0,2.0,1.0,census,4.0,2.0
325783,2.0,2,4.0,2.0,1.0,census,4.0,1.0
325784,3.0,2,7.0,2.0,1.0,census,3.0,2.0
325785,1.0,2,4.0,2.0,1.0,census,3.0,1.0
325787,1.0,1,3.0,1.0,1.0,census,5.0,1.0
325788,3.0,2,5.0,1.0,1.0,census,3.0,1.0
325789,2.0,1,5.0,1.0,1.0,census,5.0,1.0
325790,3.0,2,6.0,1.0,1.0,census,3.0,2.0
325791,2.0,2,4.0,2.0,3.0,census,3.0,3.0
325792,2.0,1,5.0,1.0,1.0,census,5.0,2.0
325793,1.0,1,1.0,2.0,3.0,census,5.0,1.0
325796,3.0,1,2.0,1.0,1.0,census,4.0,1.0
325798,1.0,1,3.0,2.0,3.0,census,5.0,1.0
325800,1.0,1,7.0,1.0,1.0,census,4.0,2.0
325801,2.0,2,4.0,1.0,1.0,census,5.0,1.0
325802,3.0,1,6.0,2.0,1.0,census,4.0,2.0
325803,2.0,1,4.0,2.0,3.0,census,4.0,1.0
325804,4.0,2,7.0,2.0,1.0,census,3.0,2.0
325805,2.0,1,5.0,1.0,1.0,census,5.0,1.0
325807,3.0,1,4.0,1.0,3.0,census,5.0,1.0
325809,2.0,1,3.0,2.0,3.0,census,5.0,1.0
325810,1.0,2,1.0,2.0,1.0,census,5.0,1.0
325812,3.0,1,6.0,1.0,1.0,census,4.0,2.0
325813,1.0,2,4.0,1.0,3.0,census,4.0,1.0
325814,1.0,1,3.0,2.0,3.0,census,5.0,1.0
325815,3.0,1,2.0,2.0,3.0,census,3.0,3.0
325816,4.0,1,3.0,2.0,3.0,census,3.0,3.0
325817,2.0,2,1.0,2.0,3.0,census,5.0,1.0
325818,1.0,2,4.0,2.0,,census,3.0,1.0
325819,5.0,1,4.0,2.0,1.0,census,3.0,1.0
325820,3.0,1,3.0,2.0,1.0,census,5.0,1.0
325821,3.0,1,2.0,2.0,1.0,census,4.0,1.0
325823,3.0,2,5.0,1.0,1.0,census,4.0,2.0
325825,2.0,2,3.0,2.0,,census,4.0,1.0
325826,4.0,1,7.0,1.0,1.0,census,3.0,2.0
325828,2.0,2,1.0,2.0,1.0,census,3.0,3.0
325829,1.0,2,1.0,2.0,1.0,census,4.0,1.0
325830,1.0,1,4.0,2.0,3.0,census,5.0,1.0
325831,4.0,1,7.0,2.0,1.0,census,3.0,2.0
325832,1.0,2,5.0,2.0,1.0,census,5.0,1.0
325833,3.0,1,6.0,1.0,1.0,census,3.0,2.0
325834,1.0,1,2.0,2.0,1.0,census,4.0,1.0
325835,2.0,1,5.0,1.0,3.0,census,4.0,1.0
325836,2.0,1,1.0,2.0,3.0,census,5.0,1.0
325837,1.0,2,2.0,1.0,1.0,census,5.0,1.0
325838,2.0,1,6.0,2.0,1.0,census,3.0,2.0
325839,1.0,2,2.0,1.0,1.0,census,5.0,1.0
325840,1.0,2,5.0,1.0,1.0,census,5.0,2.0
325841,2.0,2,4.0,2.0,1.0,census,5.0,1.0
325842,2.0,1,4.0,2.0,3.0,census,4.0,1.0
325843,2.0,2,1.0,2.0,3.0,census,5.0,1.0
325844,1.0,2,4.0,1.0,1.0,census,4.0,1.0
325845,2.0,1,1.0,2.0,1.0,census,4.0,1.0
325846,2.0,1,2.0,2.0,3.0,census,3.0,1.0
325847,4.0,1,2.0,2.0,1.0,census,3.0,3.0
325848,4.0,1,7.0,2.0,3.0,census,3.0,2.0
325849,2.0,1,6.0,2.0,,census,4.0,2.0
325850,4.0,1,6.0,1.0,1.0,census,3.0,2.0
325852,2.0,2,2.0,2.0,3.0,census,5.0,1.0
325853,3.0,2,5.0,1.0,1.0,census,4.0,2.0
325854,3.0,2,6.0,2.0,1.0,census,5.0,2.0
325855,3.0,2,6.0,2.0,1.0,census,3.0,2.0
325856,2.0,1,1.0,2.0,1.0,census,5.0,1.0
325857,1.0,2,4.0,1.0,3.0,census,4.0,1.0
325858,5.0,2,6.0,2.0,3.0,census,3.0,2.0
325859,1.0,1,4.0,1.0,1.0,census,4.0,1.0
325860,2.0,2,6.0,2.0,1.0,census,3.0,2.0
325861,3.0,2,4.0,2.0,3.0,census,3.0,3.0
325862,2.0,2,4.0,2.0,1.0,census,5.0,1.0
325863,1.0,1,3.0,2.0,,census,3.0,1.0
325864,2.0,1,1.0,2.0,3.0,census,5.0,1.0
325865,1.0,1,1.0,2.0,1.0,census,4.0,1.0
325866,1.0,2,2.0,2.0,3.0,census,5.0,1.0
325868,4.0,2,5.0,2.0,1.0,census,4.0,1.0
325869,1.0,1,3.0,1.0,1.0,census,5.0,1.0
325872,1.0,2,1.0,2.0,1.0,census,5.0,3.0
325873,2.0,2,5.0,1.0,1.0,census,3.0,2.0
325874,1.0,1,1.0,2.0,,census,5.0,3.0
325875,4.0,2,3.0,1.0,1.0,census,4.0,3.0
325876,2.0,2,2.0,2.0,1.0,census,4.0,3.0
325877,1.0,1,5.0,2.0,1.0,census,5.0,1.0
325878,1.0,1,5.0,2.0,1.0,census,3.0,3.0
325879,3.0,1,7.0,2.0,1.0,census,3.0,2.0
325880,4.0,1,7.0,2.0,1.0,census,3.0,2.0
325881,2.0,2,1.0,2.0,1.0,census,5.0,1.0
325882,1.0,1,4.0,1.0,3.0,census,5.0,1.0
325883,2.0,1,3.0,2.0,1.0,census,5.0,1.0
325884,2.0,2,4.0,1.0,1.0,census,4.0,1.0
325885,3.0,2,5.0,1.0,1.0,census,5.0,1.0
325886,4.0,2,5.0,1.0,3.0,census,3.0,3.0
325887,1.0,2,2.0,1.0,3.0,census,5.0,3.0
325890,1.0,1,2.0,1.0,3.0,census,5.0,1.0
325891,3.0,2,7.0,2.0,1.0,census,3.0,2.0
325892,1.0,1,4.0,2.0,3.0,census,5.0,1.0
325893,1.0,1,1.0,2.0,,census,4.0,1.0
325894,1.0,1,3.0,1.0,3.0,census,5.0,1.0
325895,2.0,2,6.0,1.0,1.0,census,3.0,2.0
325896,3.0,1,6.0,1.0,1.0,census,4.0,2.0
325897,2.0,1,3.0,2.0,1.0,census,5.0,1.0
325898,1.0,1,2.0,2.0,1.0,census,5.0,1.0
325899,1.0,2,4.0,2.0,1.0,census,4.0,1.0
325900,1.0,2,7.0,2.0,1.0,census,5.0,2.0
325903,3.0,2,4.0,1.0,1.0,census,3.0,1.0
325904,3.0,2,4.0,2.0,1.0,census,3.0,3.0
325906,2.0,1,6.0,2.0,1.0,census,4.0,2.0
325907,2.0,2,3.0,2.0,3.0,census,5.0,1.0
325908,5.0,1,4.0,2.0,3.0,census,4.0,1.0
325909,4.0,1,1.0,2.0,1.0,census,4.0,3.0
325910,2.0,1,6.0,2.0,,census,3.0,2.0
325911,1.0,1,2.0,1.0,1.0,census,5.0,1.0
325912,3.0,1,7.0,1.0,1.0,census,4.0,2.0
325913,3.0,2,7.0,2.0,1.0,census,3.0,2.0
325914,1.0,1,3.0,1.0,1.0,census,5.0,1.0
325915,1.0,2,3.0,2.0,3.0,census,5.0,1.0
325916,1.0,2,2.0,2.0,,census,5.0,1.0
325917,2.0,2,3.0,1.0,1.0,census,5.0,1.0
325918,1.0,1,4.0,2.0,1.0,census,5.0,1.0
325919,3.0,1,6.0,1.0,3.0,census,5.0,2.0
325920,2.0,2,4.0,1.0,1.0,census,5.0,1.0
325921,2.0,1,3.0,2.0,1.0,census,5.0,1.0
325923,2.0,2,7.0,2.0,1.0,census,4.0,2.0
325924,2.0,2,4.0,1.0,1.0,census,3.0,1.0
325926,1.0,2,6.0,2.0,1.0,census,4.0,2.0
325927,2.0,2,2.0,1.0,3.0,census,5.0,1.0
325928,2.0,2,6.0,1.0,1.0,census,5.0,2.0
325929,1.0,1,3.0,1.0,3.0,census,5.0,1.0
325934,1.0,1,1.0,2.0,1.0,census,5.0,1.0
325935,3.0,1,5.0,1.0,1.0,census,4.0,1.0
325936,2.0,1,4.0,1.0,3.0,census,4.0,1.0
325937,2.0,1,1.0,2.0,1.0,census,5.0,1.0
325939,1.0,2,1.0,2.0,1.0,census,5.0,3.0
325940,3.0,1,7.0,1.0,1.0,census,4.0,2.0
325943,3.0,2,5.0,1.0,1.0,census,4.0,1.0
325944,1.0,1,2.0,1.0,3.0,census,4.0,1.0
325945,3.0,1,4.0,2.0,1.0,census,4.0,1.0
325946,2.0,2,3.0,1.0,3.0,census,5.0,3.0
325947,1.0,1,2.0,2.0,3.0,census,5.0,1.0
325948,2.0,2,4.0,2.0,1.0,census,5.0,1.0
325949,1.0,1,1.0,2.0,3.0,census,4.0,1.0
325950,3.0,1,5.0,2.0,1.0,census,5.0,1.0
325952,2.0,2,2.0,2.0,3.0,census,5.0,3.0
325953,,2,1.0,2.0,,census,5.0,
325955,2.0,2,4.0,2.0,1.0,census,4.0,3.0
325956,4.0,1,7.0,2.0,1.0,census,3.0,2.0
325957,2.0,2,4.0,1.0,1.0,census,5.0,1.0
325958,2.0,1,4.0,2.0,1.0,census,4.0,1.0
325959,3.0,2,3.0,2.0,1.0,census,4.0,1.0
325960,2.0,2,6.0,1.0,,census,5.0,2.0
325963,1.0,1,4.0,1.0,1.0,census,5.0,1.0
325964,,2,1.0,2.0,,census,5.0,
325965,3.0,1,7.0,1.0,1.0,census,4.0,2.0
325966,1.0,2,4.0,1.0,1.0,census,5.0,1.0
325967,1.0,2,4.0,1.0,1.0,census,4.0,1.0
325968,3.0,1,7.0,2.0,1.0,census,4.0,2.0
325969,2.0,2,2.0,2.0,1.0,census,4.0,1.0
325970,2.0,1,7.0,2.0,1.0,census,4.0,2.0
325972,,1,1.0,2.0,,census,4.0,
325973,1.0,2,2.0,2.0,,census,4.0,1.0
325976,1.0,1,5.0,1.0,1.0,census,5.0,2.0
325977,1.0,2,4.0,1.0,1.0,census,5.0,1.0
325978,2.0,2,4.0,1.0,1.0,census,5.0,1.0
325980,2.0,1,5.0,1.0,,census,5.0,1.0
325981,2.0,1,5.0,1.0,1.0,census,4.0,2.0
325982,2.0,2,6.0,1.0,1.0,census,4.0,2.0
325983,1.0,2,1.0,2.0,3.0,census,5.0,1.0
325984,3.0,2,5.0,1.0,1.0,census,4.0,1.0
325985,1.0,2,4.0,1.0,1.0,census,5.0,1.0
325987,1.0,1,1.0,2.0,1.0,census,4.0,3.0
325988,2.0,2,5.0,2.0,1.0,census,4.0,2.0
325990,2.0,2,5.0,1.0,1.0,census,5.0,2.0
325991,1.0,2,4.0,1.0,3.0,census,5.0,1.0
325992,2.0,1,7.0,1.0,3.0,census,5.0,2.0
325993,1.0,2,5.0,1.0,3.0,census,5.0,1.0
325996,1.0,2,4.0,1.0,1.0,census,4.0,1.0
325997,4.0,2,6.0,1.0,1.0,census,3.0,2.0
325998,2.0,2,6.0,2.0,3.0,census,5.0,2.0
325999,2.0,2,5.0,2.0,,census,4.0,1.0
326000,2.0,2,2.0,2.0,1.0,census,4.0,3.0
326001,4.0,2,5.0,2.0,1.0,census,3.0,3.0
326002,2.0,1,5.0,1.0,3.0,census,3.0,1.0
326003,1.0,1,2.0,2.0,,census,5.0,3.0
326004,3.0,2,7.0,1.0,1.0,census,4.0,2.0
326005,1.0,2,4.0,1.0,1.0,census,5.0,1.0
326006,3.0,2,3.0,2.0,3.0,census,4.0,3.0
326007,4.0,1,6.0,1.0,1.0,census,4.0,2.0
326008,2.0,1,2.0,2.0,1.0,census,5.0,1.0
326009,1.0,1,1.0,2.0,,census,3.0,3.0
326010,2.0,1,1.0,2.0,1.0,census,4.0,3.0
326011,1.0,2,5.0,2.0,1.0,census,5.0,1.0
326012,3.0,2,6.0,1.0,1.0,census,4.0,2.0
326013,3.0,2,7.0,2.0,1.0,census,3.0,2.0
326014,3.0,1,6.0,2.0,1.0,census,4.0,2.0
326017,1.0,1,1.0,2.0,1.0,census,5.0,1.0
326018,1.0,2,3.0,1.0,3.0,census,5.0,3.0
326019,1.0,2,1.0,2.0,1.0,census,5.0,3.0
326021,1.0,2,2.0,2.0,1.0,census,3.0,3.0
326022,1.0,1,4.0,2.0,3.0,census,4.0,1.0
326023,2.0,1,5.0,2.0,,census,5.0,1.0
326024,1.0,1,6.0,2.0,,census,4.0,1.0
326025,1.0,1,1.0,2.0,1.0,census,5.0,1.0
326026,2.0,2,6.0,1.0,1.0,census,5.0,2.0
326027,2.0,2,5.0,1.0,,census,5.0,1.0
326028,2.0,2,6.0,1.0,1.0,census,5.0,2.0
326029,1.0,1,5.0,1.0,,census,5.0,1.0
326030,2.0,1,3.0,2.0,3.0,census,4.0,1.0
326031,2.0,2,6.0,1.0,1.0,census,4.0,2.0
326032,3.0,2,4.0,1.0,3.0,census,4.0,1.0
326033,3.0,2,3.0,2.0,1.0,census,4.0,1.0
326034,3.0,2,6.0,1.0,1.0,census,5.0,2.0
326035,2.0,2,4.0,2.0,1.0,census,3.0,1.0
326037,2.0,1,1.0,2.0,3.0,census,4.0,3.0
326038,3.0,2,4.0,1.0,3.0,census,4.0,3.0
326039,5.0,1,2.0,2.0,1.0,census,4.0,3.0
326040,2.0,1,1.0,2.0,1.0,census,4.0,3.0
326041,4.0,1,4.0,2.0,3.0,census,3.0,3.0
326042,1.0,1,4.0,1.0,1.0,census,5.0,1.0
326043,1.0,1,4.0,1.0,1.0,census,5.0,1.0
326044,2.0,1,5.0,1.0,1.0,census,5.0,1.0
326045,2.0,1,6.0,1.0,1.0,census,5.0,2.0
326046,1.0,1,1.0,2.0,1.0,census,5.0,1.0
326048,2.0,2,4.0,1.0,,census,3.0,3.0
326049,2.0,1,5.0,1.0,1.0,census,4.0,1.0
326050,2.0,2,4.0,1.0,1.0,census,5.0,3.0
326052,3.0,1,7.0,1.0,1.0,census,4.0,2.0
326053,2.0,2,5.0,1.0,1.0,census,5.0,1.0
326054,3.0,1,1.0,2.0,3.0,census,3.0,3.0
326055,2.0,2,4.0,2.0,3.0,census,5.0,1.0
326056,2.0,2,4.0,1.0,1.0,census,4.0,1.0
326057,3.0,2,6.0,1.0,3.0,census,4.0,1.0
326058,1.0,2,3.0,2.0,3.0,census,4.0,1.0
326059,1.0,2,5.0,2.0,3.0,census,5.0,1.0
326061,1.0,1,3.0,2.0,1.0,census,5.0,1.0
326062,2.0,1,4.0,2.0,1.0,census,5.0,1.0
326063,4.0,1,4.0,2.0,,census,4.0,3.0
326064,3.0,2,4.0,2.0,3.0,census,3.0,1.0
326065,2.0,2,4.0,1.0,1.0,census,5.0,1.0
326068,3.0,1,7.0,1.0,1.0,census,3.0,2.0
326069,3.0,2,6.0,1.0,1.0,census,4.0,2.0
326070,2.0,1,4.0,2.0,1.0,census,3.0,3.0
326071,2.0,1,2.0,2.0,3.0,census,5.0,1.0
326072,3.0,2,5.0,1.0,2.0,census,4.0,3.0
326073,2.0,2,4.0,2.0,1.0,census,4.0,3.0
326074,3.0,2,7.0,2.0,3.0,census,4.0,2.0
326075,,1,1.0,2.0,,census,5.0,
326076,1.0,2,6.0,1.0,1.0,census,4.0,2.0
326077,1.0,1,2.0,2.0,1.0,census,4.0,1.0
326078,1.0,2,3.0,2.0,1.0,census,5.0,1.0
326079,3.0,2,6.0,1.0,1.0,census,4.0,1.0
326080,2.0,1,4.0,2.0,1.0,census,4.0,1.0
326081,1.0,2,5.0,1.0,1.0,census,5.0,2.0
326082,2.0,2,5.0,1.0,3.0,census,4.0,1.0
326085,2.0,2,6.0,1.0,1.0,census,5.0,2.0
326089,1.0,2,5.0,1.0,1.0,census,4.0,2.0
326090,3.0,1,7.0,1.0,1.0,census,4.0,2.0
326091,1.0,2,2.0,1.0,1.0,census,5.0,1.0
326092,2.0,2,7.0,2.0,1.0,census,4.0,2.0
326094,2.0,2,6.0,2.0,1.0,census,4.0,2.0
326095,3.0,1,5.0,1.0,3.0,census,4.0,1.0
326096,1.0,2,6.0,1.0,1.0,census,5.0,2.0
326097,2.0,2,5.0,1.0,1.0,census,5.0,2.0
326098,2.0,2,5.0,1.0,1.0,census,5.0,2.0
326099,1.0,2,5.0,2.0,1.0,census,4.0,1.0
326100,1.0,1,3.0,2.0,3.0,census,5.0,1.0
326101,2.0,2,2.0,1.0,1.0,census,5.0,1.0
326102,3.0,1,4.0,2.0,3.0,census,3.0,1.0
326103,1.0,1,4.0,1.0,1.0,census,5.0,1.0
326104,1.0,2,4.0,1.0,,census,5.0,1.0
326105,2.0,1,6.0,1.0,1.0,census,4.0,2.0
326106,1.0,1,2.0,1.0,3.0,census,5.0,1.0
326108,2.0,1,6.0,1.0,3.0,census,5.0,2.0
326109,1.0,1,7.0,1.0,3.0,census,5.0,1.0
326110,3.0,2,3.0,2.0,1.0,census,3.0,1.0
326111,3.0,2,7.0,2.0,1.0,census,3.0,2.0
326112,1.0,2,5.0,1.0,1.0,census,4.0,2.0
326113,1.0,1,5.0,2.0,3.0,census,5.0,1.0
326114,3.0,1,3.0,2.0,3.0,census,4.0,1.0
326115,4.0,2,6.0,1.0,1.0,census,4.0,2.0
326116,3.0,1,7.0,1.0,1.0,census,3.0,2.0
326117,2.0,1,2.0,2.0,3.0,census,5.0,1.0
326119,2.0,2,1.0,2.0,1.0,census,5.0,1.0
326121,1.0,1,7.0,1.0,1.0,census,3.0,2.0
